C_PT1_G23_C	C_PT2_G23_C	C_PT3_G23_C	C_NL1_G23_C	C_NL2_G23_C	C_NL3_G23_C	C_NL1_G23_W	C_NL2_G23_W	C_NL3_G23_W	C_PT1_G23_W	C_PT2_G23_W	C_PT3_G23_W
gene-LOC117903638	1776.80074977229	1816.58817064351	2097.934258117	1851.57392877302	1622.32623251727	1963.42570080959	1619.25762940142	1876.34337034625	1788.26276712429	1888.92920710564	1602.10911232807	1738.36867708178
gene-LOC117903819	1813.66383586716	2370.91470800899	2397.36755730452	1883.80420724506	1966.88278768731	2235.84258283773	1816.28897775971	1977.46966725392	1968.18247854703	2115.04919978106	2189.11055588479	2000.78351914723
gene-LOC117903704	4932.28091949239	4246.49746997854	4925.91541711023	5021.25510816118	5073.52486141396	5537.73760803943	4992.79437058177	5775.21267884589	4860.81430307826	3868.8579234587	3656.61416477658	3811.75709324317
gene-LOC117892367	251.722216476336	217.055571859978	231.941984132554	282.292783858552	153.031930497867	223.499918691814	142.022596278568	95.1187941210747	152.086827887725	164.534466215041	186.221147611096	194.996009123732
gene-LOC117903337	3108.08477331241	3872.49402308135	3979.13584253636	4757.85593582072	4902.654853128	4794.70580287909	4497.71560186423	4999.2435689108	4329.00742124864	3436.84005127395	2797.36549998408	3388.57426493209
gene-LOC117894282	0	0	0	5.55694456414473	0	0	0	0	0	0	0	1.03721281448794
gene-LOC117892375	2.10646206256348	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117889610	4387.76047631973	4078.41853997415	5161.65972885151	7349.61488053782	6157.89222169026	6818.85600989929	7266.15607016758	8936.16039505886	5930.39225606644	4390.95611792877	3970.3563156431	4673.68094208264
gene-LOC117889611	0	0	0	0	0	0	0	0	0	0	0	0
gene-LOC117889612	522.402591515743	419.640772262624	571.299723211742	864.66057418092	464.728868689843	581.099788598715	609.096909391887	455.568961316726	420.475347689592	409.038198132364	350.176723225213	491.638874067282
gene-LOC117897219	1393.42465438574	1465.95993917739	1580.81770332966	3001.86145355098	3106.64207372665	3055.62341668091	3118.49616335616	4432.53580604208	3075.53363061843	1593.87019227308	1076.84402749025	1546.48430640151
